iter	Passed	Remaining
740	911	318
741	911	317
742	913	316
743	914	314
744	915	313
745	916	312
746	917	310
747	918	309
748	920	308
749	921	307
750	922	305
751	923	304
752	924	303
753	925	301
754	926	300
755	928	299
756	929	298
757	930	297
758	931	295
759	932	294
760	932	292
761	933	291
762	934	290
763	935	289
764	936	287
765	937	286
766	937	284
767	938	283
768	939	282
769	939	280
770	940	279
771	941	277
772	942	276
773	942	275
774	944	274
775	945	272
776	946	271
777	947	270
778	948	269
779	949	267
780	950	266
781	951	265
782	951	263
783	952	262
784	953	261
785	954	259
786	954	258
787	955	257
788	956	255
789	957	254
790	958	253
791	959	251
792	960	250
793	960	249
794	962	248
795	963	246
796	964	245
797	965	244
798	966	243
799	967	241
800	968	240
801	969	239
802	970	238
803	970	236
804	971	235
805	973	234
806	974	233
807	975	231
808	976	230
809	977	229
810	978	227
811	979	226
812	980	225
813	981	224
814	981	222
815	982	221
816	983	220
817	983	218
818	984	217
819	985	216
820	986	215
821	987	213
822	988	212
823	989	211
824	990	210
825	991	208
826	992	207
827	993	206
828	994	205
829	995	203
830	996	202
831	997	201
832	998	200
833	999	198
834	1000	197
835	1001	196
836	1002	195
837	1003	194
838	1004	192
839	1005	191
840	1006	190
841	1007	189
842	1010	188
843	1011	186
844	1012	185
845	1013	184
846	1014	183
847	1015	182
848	1016	180
849	1017	179
850	1018	178
851	1020	177
852	1020	175
853	1022	174
854	1023	173
855	1023	172
856	1024	170
857	1025	169
858	1026	168
859	1027	167
860	1028	165
861	1028	164
862	1029	163
863	1030	162
864	1031	160
865	1032	159
866	1033	158
867	1034	157
868	1034	156
869	1036	154
870	1036	153
871	1037	152
872	1039	151
873	1040	149
874	1041	148
875	1041	147
876	1042	146
877	1043	145
878	1044	143
879	1045	142
880	1046	141
881	1047	140
882	1048	138
883	1048	137
884	1049	136
885	1050	135
886	1053	134
887	1058	133
888	1059	132
889	1061	131
890	1066	130
891	1075	130
892	1079	129
893	1080	128
894	1081	126
895	1082	125
896	1083	124
897	1084	123
898	1085	121
899	1086	120
900	1087	119
901	1087	118
